event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190707_083226-v1,1246523564.9,52.0,32.0,85.0,35.0,4000.0,8.28,0.043,IAS-O3a,GW190707_083226,2019-07-07,2019,BBH,O3a,60–100,2k–5k,0.6153846153846154,False
GW190707_093326-v3,1246527224.1,11.5,8.3,20.0,8.5,800.0,12.7,0.001,IAS-O3a,GW190707_093326,2019-07-07,2019,BBH,O3a,10–20,500–1k,0.7217391304347827,False
GW190708_232457-v2,1246663515.3,19.8,11.6,31.4,13.1,930.0,13.4,0.00031,GWTC-2.1-confident,GW190708_232457,2019-07-08,2019,BBH,O3a,20–40,500–1k,0.5858585858585859,False
GW190708_232457-v1,1246663515.4,17.6,13.2,30.9,13.2,880.0,13.07130069939341,2.8252506364808675e-05,GWTC-2,GW190708_232457,2019-07-08,2019,BBH,O3a,20–40,500–1k,0.7499999999999999,False
GW190711_030756-v1,1246849694.6,90.0,20.0,120.0,33.0,2500.0,8.97,0.09,IAS-O3a,GW190711_030756,2019-07-11,2019,BBH,O3a,100+,2k–5k,0.2222222222222222,False
GW190718_160159-v1,1247500937.3,11.0,6.3,17.0,7.1,1500.0,8.43,2.1,IAS-O3a,GW190718_160159,2019-07-18,2019,BBH,O3a,10–20,1k–2k,0.5727272727272728,False
GW190719_215514-v1,1247608532.9,36.5,20.8,57.8,23.5,3940.0,7.993907515410997,1.559222128828275,GWTC-2,GW190719_215514,2019-07-19,2019,BBH,O3a,40–60,2k–5k,0.5698630136986301,False
GW190719_215514-v2,1247608532.9,36.6,19.9,57.2,22.8,3730.0,7.9,0.63,GWTC-2.1-confident,GW190719_215514,2019-07-19,2019,BBH,O3a,40–60,2k–5k,0.5437158469945355,False
GW190719_215514-v3,1247608532.9,60.0,25.0,90.0,31.0,6000.0,8.38,0.12,IAS-O3a,GW190719_215514,2019-07-19,2019,BBH,O3a,60–100,5k+ Mpc,0.4166666666666667,False
GW190720_000836-v1,1247616534.7,13.4,7.8,21.5,8.9,790.0,11.6960978153441,1e-05,GWTC-2,GW190720_000836,2019-07-20,2019,BBH,O3a,20–40,500–1k,0.582089552238806,False
